system,facility,carrier,code,code_type,setting,billing_class,hospital_plan,payer_plan,hospital_rate,payer_rate,difference,ratio,relative_difference,is_implausible,hospital_vintage,payer_vintage,notes,hospital_slug
Mount Sinai,The Mount Sinai Hospital,Cigna,G0433,HCPCS,outpatient,facility,Cigna Localplus - Tmsh,LocalPlus,97.77,20.01,-77.75999999999999,0.2046640073642222,3.8860569715142423,False,2026-04-01,2026-08-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Cigna,G0433,HCPCS,outpatient,facility,Cigna Ppo - Tmsh,NationalPPO,129.58,26.52,-103.06000000000002,0.20466121315017746,3.886123680241328,False,2026-04-01,2026-08-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Cigna,P2038,HCPCS,outpatient,facility,Cigna Localplus - Tmsh,LocalPlus,55.07,7.34,-47.730000000000004,0.13328491011439986,6.502724795640328,False,2026-04-01,2026-08-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Cigna,P2038,HCPCS,outpatient,facility,Cigna Ppo - Tmsh,NationalPPO,72.98,9.73,-63.25,0.13332419841052343,6.500513874614594,False,2026-04-01,2026-08-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Cigna,P9612,HCPCS,outpatient,facility,Cigna Ppo - Tmsh,NationalPPO,8.98,4.26,-4.720000000000001,0.4743875278396436,1.1079812206572772,False,2026-04-01,2026-08-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Cigna,P9615,HCPCS,outpatient,facility,Cigna Localplus - Tmsh,LocalPlus,14.21,3.22,-10.99,0.22660098522167488,3.4130434782608696,False,2026-04-01,2026-08-01,,mount-sinai-health-system
Mount Sinai,The Mount Sinai Hospital,Cigna,P9615,HCPCS,outpatient,facility,Cigna Ppo - Tmsh,NationalPPO,18.84,4.26,-14.58,0.22611464968152864,3.422535211267606,False,2026-04-01,2026-08-01,,mount-sinai-health-system
NYU Langone,NYU Langone|Brooklyn,Aetna,64647,CPT,both,,AETNA EPO (AMEX EMPLOYEES) 3993,Epo,24598.0,2461.77,-22136.23,0.10008008781201724,8.991997627723142,False,2026-01-01,2026-08-05,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,Aetna,64647,CPT,both,,AETNA EPO (SUNSET PARK EMPLOYEES) 4208,Epo,24598.0,2461.77,-22136.23,0.10008008781201724,8.991997627723142,False,2026-01-01,2026-08-05,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,Aetna,64647,CPT,both,,AETNA PPO 1010,Ppo,24598.0,2461.77,-22136.23,0.10008008781201724,8.991997627723142,False,2026-01-01,2026-08-05,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,Aetna,64647,CPT,both,,AETNA SIGNATURE ADMINISTRATORS PPO 1417,Ppo,24598.0,2461.77,-22136.23,0.10008008781201724,8.991997627723142,False,2026-01-01,2026-08-05,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,Cigna,31242,CPT,both,,CIGNA PPO 1047,NationalPPO,6487.0,44062.0,37575.0,6.7923539386465235,5.7923539386465235,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,Cigna,90870,CPT,both,,CIGNA GREAT WEST PPO 1442,NationalPPO,6487.0,690.0,-5797.0,0.1063665793124711,8.40144927536232,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,Cigna,90870,CPT,both,,CIGNA LOCALPLUS 4193,LocalPlus,6487.0,690.0,-5797.0,0.1063665793124711,8.40144927536232,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,Cigna,90870,CPT,both,,CIGNA PPO 1047,NationalPPO,6487.0,690.0,-5797.0,0.1063665793124711,8.40144927536232,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
