system,facility,carrier,code,code_type,setting,billing_class,hospital_plan,payer_plan,hospital_rate,payer_rate,difference,ratio,relative_difference,is_implausible,hospital_vintage,payer_vintage,notes,payer_min,payer_max,payer_count,inside_payer_range,hospital_slug
White Plains,White Plains Hospital,Cigna,402,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,112359.4,127743.35,15383.950000000012,1.1369173384692337,0.13691733846923365,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,114970.22,127743.35,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,406,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,80303.29,92148.05,11844.76000000001,1.1475003078952308,0.14750030789523083,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,82934.12,92148.05,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,407,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,61069.62,70523.35,9453.730000000003,1.1548025024553943,0.1548025024553944,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,63471.68,70523.35,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,409,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,59945.79,69179.35,9233.560000000005,1.1540318344290734,0.15403183442907342,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,62262.07,69179.35,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,411,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,78250.09,104955.75,26705.660000000003,1.3412859972429425,0.3412859972429425,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,94461.17,104955.75,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,415,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,56562.89,65665.26,9102.369999999995,1.1609247688723119,0.16092476887231177,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,59099.35,65665.26,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,423,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,116302.79,131953.27,15650.479999999996,1.13456667720525,0.13456667720525017,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,118759.19,131953.27,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,426,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,299731.83,350176.59,50444.76000000001,1.1682996430509232,0.16829964305092324,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,315162.24,350176.59,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,428,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,157426.7,178627.81,21201.109999999986,1.1346728985616796,0.13467289856167972,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,160766.71,178627.81,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,429,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,238490.64,286262.02,47771.380000000005,1.2003071483224668,0.20030714832246665,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,257638.52,286262.02,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,430,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,156422.98,183238.07,26815.089999999997,1.1714267941960956,0.17142679419609572,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,164915.99,183238.07,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,448,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,116763.19,134742.94,17979.75,1.153984744678524,0.1539847446785241,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,121269.92,134742.94,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,450,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,147260.82,169337.38,22076.559999999998,1.1499146887814424,0.14991468878144232,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,152405.24,169337.38,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,451,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,88241.54,102639.5,14397.960000000006,1.1631653300701688,0.16316533007016884,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,92376.52,102639.5,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,457,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,164112.44,189465.58,25353.139999999985,1.1544863996903585,0.15448639969035854,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,170520.81,189465.58,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,463,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,154438.42,181090.21,26651.78999999998,1.1725722783229715,0.17257227832297156,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,162982.9,181090.21,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,464,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,84318.17,98963.36,14645.190000000002,1.1736896092502958,0.17368960925029567,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,89067.96,98963.36,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,466,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,145676.6,165391.17,19714.570000000007,1.1353310689568539,0.1353310689568538,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,148853.62,165391.17,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,467,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,97938.44,112050.66,14112.220000000001,1.1440927586757559,0.1440927586757559,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,100846.65,112050.66,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,468,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,75013.03,87312.2,12299.169999999998,1.1639604479381782,0.16396044793817818,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,78581.81,87312.2,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,473,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,67692.45,77567.42,9874.970000000001,1.1458799319569613,0.14587993195696125,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,69811.41,77567.42,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,475,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,61684.43,72305.82,10621.390000000007,1.1721891569720269,0.1721891569720269,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,65075.92,72305.82,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,478,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,66868.89,78136.16,11267.270000000004,1.168497936783458,0.16849793678345795,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,70323.28,78136.16,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,483,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,72865.47,88071.58,15206.11,1.2086874619761596,0.20868746197615964,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,79265.25,88071.58,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,492,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,101544.4,116657.75,15113.350000000006,1.1488348938986297,0.14883489389862964,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,104993.07,116657.75,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,493,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,68659.0,80579.51,11920.509999999995,1.1736190448448127,0.1736190448448127,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,72522.32,80579.51,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,494,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,53917.76,63752.52,9834.759999999995,1.182402978165265,0.18240297816526493,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,57377.87,63752.52,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,495,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,100666.5,115199.37,14532.869999999995,1.1443664972955252,0.14436649729552528,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,103680.52,115199.37,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,498,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,72196.32,95852.79,23656.469999999987,1.3276686401744575,0.3276686401744574,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,86268.41,95852.79,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,499,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,33194.24,64016.24,30822.0,1.9285345891335364,0.9285345891335365,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,57615.22,64016.24,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,503,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,75679.31,88681.62,13002.309999999998,1.1718079882070807,0.17180798820708063,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,79814.3,88681.62,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,504,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,50203.14,59390.09,9186.949999999997,1.1829955257778697,0.18299552577786962,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,53451.64,59390.09,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,508,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,36906.0,48117.03,11211.029999999999,1.3037725573077548,0.3037725573077548,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,43305.78,48117.03,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,510,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,81727.37,95970.35,14242.98000000001,1.1742742975823155,0.17427429758231558,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,86374.22,95970.35,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,511,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,56088.19,66068.78,9980.589999999997,1.177944590474394,0.17794459047439393,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,59462.52,66068.78,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,515,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,88424.55,101257.37,12832.819999999992,1.1451273430286044,0.14512734302860453,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,91132.59,101257.37,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,516,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,57523.71,66027.47,8503.760000000002,1.1478305206670432,0.14783052066704325,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,59425.35,66027.47,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,518,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,102482.34,118745.23,16262.89,1.1586896825345714,0.15868968253457133,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,106871.83,118745.23,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,573,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,176088.45,208157.63,32069.179999999993,1.1821197244907318,0.18211972449073174,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,187343.83,208157.63,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,582,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,50074.46,61213.86,11139.400000000001,1.222456717456364,0.22245671745636403,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,55093.05,61213.86,3,False,white-plains-hospital
